AreaCode,AreaName,Date,CumulatedCase,CumulatedDeath,CumulatedFirstVaccin
E12000001,North East,14/4/2022,924983,8995,2091460
E12000002,North West,14/4/2022,2526728,25851,5630595
E12000003,Yorkshire and The Humber,14/4/2022,1774031,16811,4213031
E12000004,East Midlands,14/4/2022,1560657,14993,3779372
E12000005,West Midlands,14/4/2022,1878000,19557,4461796
E12000006,East of England,14/4/2022,1995439,18664,4914144
E12000007,London,14/4/2022,2842274,23261,6473781
E12000008,South East,14/4/2022,2952546,25497,7348873
E12000009,South West,14/4/2022,1709740,11352,4621369
K02000001,United Kingdom,14/4/2022,32419.9,194310,53001426
E12000001,North East,13/4/2022,923515,8986,2091460
E12000002,North West,13/4/2022,2523441,25829,5630595
E12000003,Yorkshire and The Humber,13/4/2022,1771309,16793,4213031
E12000004,East Midlands,13/4/2022,1558254,14977,3779372
E12000005,West Midlands,13/4/2022,1875186,19542,4461796
E12000006,East of England,13/4/2022,1992196,18650,4914144
E12000007,London,13/4/2022,2839306,23249,6473781
E12000008,South East,13/4/2022,2947731,25474,7348873
E12000009,South West,13/4/2022,1706511,11337,4621369
K02000001,United Kingdom,13/4/2022,32371.4,194137,52978585
E12000001,North East,12/4/2022,921994,8978,2091434
E12000002,North West,12/4/2022,2520001,25804,5630110
E12000003,Yorkshire and The Humber,12/4/2022,1768556,16777,4212789
E12000004,East Midlands,12/4/2022,1555735,14960,3779317
E12000005,West Midlands,12/4/2022,1872082,19514,4461697
E12000006,East of England,12/4/2022,1988444,18638,4914014
E12000007,London,12/4/2022,2836130,23234,6473348
E12000008,South East,12/4/2022,2942488,25450,7348583
E12000009,South West,12/4/2022,1703161,11317,4621125
K02000001,United Kingdom,12/4/2022,32318,193936,52959181
E12000001,North East,11/4/2022,920223,8972,2091439
E12000002,North West,11/4/2022,2516400,25788,5629879
E12000003,Yorkshire and The Humber,11/4/2022,1765704,16771,4212662
E12000004,East Midlands,11/4/2022,1552807,14946,3779230
E12000005,West Midlands,11/4/2022,1868893,19487,4461688
E12000006,East of England,11/4/2022,1985026,18612,4913833
E12000007,London,11/4/2022,2832627,23222,6472591
E12000008,South East,11/4/2022,2936774,25428,7348407
E12000009,South West,11/4/2022,1699418,11300,4621185
K02000001,United Kingdom,11/4/2022,32260.7,193751,52941680
E12000001,North East,10/4/2022,,8962,2084111
E12000002,North West,10/4/2022,,25777,5610265
E12000003,Yorkshire and The Humber,10/4/2022,,16755,4197213
